,tweet_id,location
0,1050008227931394048,[]
1,1119951483221340160,"[('Sri Lanka', 'con')]"
2,1050021776971857922,[]
3,1050205158020341760,"[('ND , MO , GA', 'sta')]"
4,1050194015914786817,"[('Landfall', 'reg'), ('Florida', 'sta')]"
5,591903137402871810,"[('Somerville', 'ctc'), ('Nepal', 'con')]"
6,1049977847845011457,"[('Houston', 'ctc')]"
7,1050269386282397696,[]
8,1049944020011618304,[]
9,1050058520186511360,"[('Florida', 'sta'), ('Panhandle', 'reg')]"
10,1050214684232753152,[]
11,1050107985064878080,"[('Florida', 'sta'), ('Florida', 'sta')]"
12,1050190937413042176,[]
13,1050343164702285825,"[('Florida', 'sta')]"
14,1049820163523121153,"[('Florida', 'sta'), ('Panhandle', 'reg')]"
15,1050117714365300736,[]
16,1049893028255752192,"[('Florida', 'sta')]"
17,1119965009709191169,"[('Sri Lanka', 'con'), ('Sri Lanka', 'con')]"
18,1050064050640576512,"[('Florida', 'sta')]"
19,1119951508970201088,"[('Sri Lanka', 'con')]"
20,1119965068840640512,"[('Sri Lanka', 'con'), ('Sri Lanka', 'con')]"
21,1119956830460043264,"[('church', 'lan'), ('hotel', 'lan'), ('Sri Lanka', 'con')]"
22,1050010010699423745,"[('FL', 'sta'), ('GA', 'sta'), ('SC', 'sta'), ('NC', 'sta')]"
23,1050115523906756608,"[('Rigs', 'oth'), ('Platforms', 'oth')]"
24,1050025882201612289,"[('Florida', 'sta'), ('Panhandle', 'reg'), ('coast', 'reg')]"
25,1050149320467632128,"[('gulf side of Florida', 'reg')]"
26,1119950799545806848,"[('The Shangri La', 'lan'), ('second floor', 'oth'), ('restaurant', 'oth'), ('Sri Lanka', 'con')]"
27,1119950689759891458,"[('Sri Lanka', 'con'), ('Christians', 'ctc'), ('Churches', 'lan')]"
28,1049838713314766848,"[('Satellite', 'oth')]"
29,1050039398685798401,[]
30,1050083158564040704,[]
31,1119949853155647488,"[('Sri Lanka', 'con')]"
32,1119975276577005571,"[('Sri Lanka', 'con'), ('churches', 'lan'), ('Sri Lanka', 'con')]"
33,1050281773563822080,"[('Florida', 'sta'), ('region', 'reg')]"
34,1050115192456138752,"[('Panama City , FL', 'ctc')]"
35,1049753567924371456,"[('Florida', 'sta')]"
36,296247608245100544,"[('Australia', 'con')]"
37,1050124481497317386,[]
38,1050142479712968704,"[('Florida', 'sta'), ('north', 'oth')]"
39,296249125467455488,"[('Australia', 'con'), ('east coast', 'reg'), ('Australia', 'con')]"
40,1050016087373438976,"[('Tampa Bay', 'reg')]"
41,1119975640889987076,"[('Sri Lanka', 'con'), ('Eurasia', 'oth')]"
42,1050062953326813184,[]
43,1119950445827506181,"[('Sri Lanka', 'con'), ('Churches', 'lan'), ('hotels', 'lan'), ('Sri Lanka', 'con')]"
44,1050042070830903296,[]
45,1119951935186976770,"[('Sri Lanka', 'oth'), ('Canada', 'con'), ('churches', 'lan'), ('hotels', 'lan')]"
46,1049795606892503040,"[('Florida', 'sta'), ('shore', 'reg'), ('Port St. Joe', 'ctc')]"
47,1050307854425567232,"[('14.1 , 33.3', 'oth')]"
48,1049961689813278721,[]
49,1050215210374582272,"[('Florida Panhandle', 'reg')]"
50,1049936538740695040,[]
51,1050183211102420992,[]
52,1050052245511921670,[]
53,1050082990422970368,"[('US', 'con')]"
54,1050134127847063566,"[('Alabama', 'sta'), ('Georgia', 'sta')]"
55,1050100574765637635,"[('FloridaPanhandle', 'reg'), ('Georgia', 'sta'), ('Alabama', 'sta')]"
56,1049812250662502400,"[('US states', 'con')]"
57,1119965161463402496,"[('Sri Lanka', 'con'), ('Sri Lanka', 'con')]"
58,1119952744922734592,"[('Sri Lanka', 'con')]"
59,1049918678047879169,"[('Florida', 'sta')]"
60,1050118235792785420,"[('Ensenada Dos', 'ctc'), ('Pensacola Beach', 'ctc'), ('home', 'lan')]"
61,1050053988962508801,"[('Florida', 'sta')]"
62,1049919854046838784,"[('Florida', 'sta'), ('Panhandle', 'reg'), ('beaches', 'lan')]"
63,1119965209765003266,"[('Sri Lanka', 'con'), ('Sri Lanka', 'con')]"
64,1050050314483757058,"[('weatherchannel', 'oth')]"
65,1050063896713842689,"[('Richmond County', 'oth'), ('Columbia County', 'oth'), ('schools', 'lan'), ('georgia', 'sta'), ('aiken', 'ctc'), ('southcarolina', 'sta')]"
66,1050222398245490689,[]
67,591961518251450368,[]
68,1050020936546754560,"[('Florida Panhandle', 'reg')]"
69,1119972533841821696,"[('Sri Lanka', 'con')]"
70,1050109369126408192,"[('path', 'oth')]"
71,1050074617732321281,"[('Florida', 'sta')]"
72,1050008259044802560,"[('Murfreesboro', 'ctc')]"
73,1050112782320963589,[]
74,1119970658631454721,"[('ashore', 'reg'), ('Sri Lanka', 'con')]"
75,1050107696916107264,[]
76,1050130795703103488,[]
77,1040001899808935937,"[('MUSC', 'lan'), ('Goose Creek', 'ctc'), ('recovery room', 'oth'), ('recovery room', 'oth')]"
78,1050219820774383617,[]
79,296079905261764608,"[('Australia', 'con')]"
80,1050281411830276097,"[('Georgia', 'sta')]"
81,1119968914790866944,"[('Sri Lanka', 'con'), ('Sri Lanka', 'con')]"
82,1050268840742010880,[]
83,1050094790359035909,[]
84,1119952021065490433,"[('Sri Lanka', 'con')]"
85,1119971858768490496,"[('Sri Lankan churches', 'lan'), ('hotels', 'lan')]"
86,1050152015265841152,"[('Saudi', 'con')]"
87,1049834132224823301,"[('coast', 'reg')]"
88,1119975200701984768,[]
89,1040002359949250560,"[('Sri Lanka', 'con'), ('Carolinas', 'sta')]"
90,1049756758304940032,"[('on its way', 'oth')]"
91,1040002792033841155,"[('North Carolina', 'sta')]"
92,1050280039135219713,"[('Florida', 'sta'), ('Panhandle', 'oth')]"
93,1050029321107193856,"[('Hurricane Michael', 'oth')]"
94,1119973298492854273,[]
95,1050128232006213632,[]
96,1119950766796607488,"[('Sri Lanka', 'con'), ('Mesopotamia', 'reg')]"
97,1050155464577740800,"[('Georgia', 'sta'), ('PANAMA CITY', 'ctc'), ('Fla.', 'sta'), ('Florida', 'sta'), ('Georgia', 'sta'), ('Panhandle', 'reg')]"
98,1050348953668079617,[]
99,1119962911974264832,"[('Sri Lanka', 'con')]"
100,1050084744854233089,"[('Mexico Beach', 'ctc'), ('Florida', 'sta')]"
101,1119969939312578561,"[('Sri Lanka', 'con')]"
102,1050153683097448450,"[('Erie , PA', 'ctc'), ('FL Panhandle', 'reg')]"
103,1050376425621127168,"[('Panama City ,', 'ctc'), ('FL', 'sta')]"
